48	김용의	21LLF	0.007	7	0	9.0	    1	1	0	0	1.000	1.00	0.11	-0.01	0.00	0.00	0.01	0.10	13.50	-0.03	0.07	0.010	0.007
49	최우재	21NLF	0.006	1	0	2.0	    1	1	0	0	1.000	4.50	0.07	-0.00	0.00	0.00	0.00	0.07	41.91	-0.01	0.06	0.007	0.006
50	오장한	21NRF	0.004	1	0	2.0	    1	1	0	0	1.000	4.50	0.07	-0.02	0.00	0.00	0.00	0.05	31.28	-0.01	0.04	0.005	0.004
51	이주형	21LCF	-0.000	2	0	4.0	0	0	0	0	0	0.00	0.00	-0.01	0.00	0.00	0.00	-0.00	-1.07	0.00	-0.00	-0.000	-0.000
52	이주형	21키LF	-0.000	1	0	1.0	0	0	0	0	0	0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	0.49	-0.01	-0.00	0.000	-0.000
53	송호정	21한LF	-0.000	1	0	1.0	0	0	0	0	0	0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	0.49	-0.01	-0.00	0.000	-0.000
54	이상호	21LLF	-0.000	1	0	1.0	0	0	0	0	0	0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	0.49	-0.01	-0.00	0.000	-0.000
55	강진성	21NRF	-0.001	1	0	1.0	0	0	0	0	0	0.00	0.00	-0.00	0.00	0.00	0.00	-0.00	-0.99	-0.01	-0.01	-0.000	-0.001
56	이원재	21NLF	-0.002	1	0	4.0	0	0	0	0	0	0.00	-0.00	-0.00	0.00	0.00	0.00	0.00	0.49	-0.02	-0.02	0.000	-0.002
57	송준석	21삼LF	-0.003	14	12	92.0	24	24	0	0	1.000	2.35	0.72	-0.32	0.00	0.00	0.04	0.44	5.75	-0.47	-0.03	0.044	-0.003
58	오선우	21KLF	-0.005	6	4	33.1	16	15	1	0	1.000	4.32	-0.15	0.26	0.00	0.00	0.02	0.12	4.26	-0.17	-0.05	0.012	-0.005
59	김규남	21SLF	-0.009	3	2	14.0	4	4	0	0	1.000	2.57	-0.02	-0.00	0.00	0.00	0.01	-0.01	-1.20	-0.07	-0.08	-0.001	-0.009
60	조한민	21한LF	-0.011	28	22	168.2	42	40	1	1	.976	2.19	1.84	-1.09	0.00	0.00	-0.10	0.65	4.62	-0.76	-0.11	0.065	-0.011
61	최민재	21롯LF	-0.012	14	6	60.0	11	11	0	0	1.000	1.65	0.16	-0.15	0.00	0.00	0.03	0.03	0.66	-0.15	-0.12	0.003	-0.012
62	정진기	21SNCF	-0.014	15	10	80.0	22	19	2	1	.955	2.36	0.00	-0.12	0.00	0.00	-0.16	-0.27	-4.09	0.14	-0.14	-0.027	-0.014
63	김재유	21롯LF	-0.016	69	40	377.1	106	99	3	4	.962	2.43	-0.85	0.92	0.00	0.00	-0.62	-0.55	-1.73	0.39	-0.16	-0.054	-0.016
64	박주홍	21키LF	-0.019	11	5	53.0	20	20	0	0	1.000	3.40	0.42	-0.37	0.00	0.00	0.02	0.08	1.74	-0.27	-0.19	0.008	-0.019
65	김준완	21NLF	-0.022	14	1	30.0	11	11	0	0	1.000	3.30	0.14	-0.32	0.00	0.00	0.02	-0.16	-6.33	-0.07	-0.22	-0.016	-0.022
66	김건형	21KRF	-0.026	11	11	85.0	10	9	1	0	1.000	1.06	-0.74	0.86	0.00	0.00	0.06	0.17	2.43	-0.43	-0.26	0.017	-0.026
67	백동훈	21두LF	-0.028	5	2	10.1	6	6	0	0	1.000	5.23	-0.33	0.04	0.00	0.00	0.01	-0.28	-32.96	0.00	-0.28	-0.029	-0.028
68	오준혁	21SLF	-0.029	8	2	22.0	5	5	0	0	1.000	2.05	-0.19	0.00	0.00	0.00	0.01	-0.18	-9.64	-0.11	-0.29	-0.018	-0.029
69	김현준	21삼LF	-0.031	11	0	17.2	8	8	0	0	1.000	4.08	-0.27	0.03	0.00	0.00	0.01	-0.23	-15.68	-0.08	-0.31	-0.023	-0.031
70	안권수	21두LF	-0.039	81	4	166.2	40	39	1	0	1.000	2.16	0.65	-0.47	0.00	0.00	0.10	0.28	2.02	-0.67	-0.39	0.028	-0.039
71	권희동	21NLF	-0.046	51	28	259.2	55	52	2	1	.982	1.87	-0.33	1.12	0.00	0.00	-0.06	0.72	3.34	-1.20	-0.47	0.071	-0.046
72	유장혁	21한LF	-0.047	34	28	253.0	78	77	1	0	1.000	2.78	-1.15	0.34	0.00	0.00	0.12	-0.69	-3.24	0.22	-0.46	-0.070	-0.047
73	박지훈	21두RF	-0.052	1	1	2.0	0	0	0	0	0	0.00	-0.59	0.07	0.00	0.00	0.00	-0.52	-309.60	-0.01	-0.53	-0.051	-0.052
74	송우현	21키RF	-0.058	66	63	560.1	119	113	5	1	.992	1.90	-0.29	2.44	0.00	0.00	0.17	2.33	4.97	-2.91	-0.58	0.230	-0.058
75	김태연	21한LF	-0.058	23	21	144.0	43	40	3	0	1.000	2.69	-1.05	1.12	0.00	0.00	0.09	0.16	1.35	-0.75	-0.59	0.016	-0.058
76	김성표	21삼LF	-0.075	25	3	72.0	18	17	0	1	.944	2.13	-1.10	0.43	0.00	0.00	-0.17	-0.83	-13.85	0.08	-0.75	-0.082	-0.075
77	김민혁	21KLF	-0.079	45	31	243.0	55	54	0	1	.982	2.00	1.82	-1.29	0.00	0.00	-0.09	0.44	2.16	-1.23	-0.79	0.044	-0.079
78	김은성	21키LF	-0.080	6	5	44.0	17	17	0	0	1.000	3.48	-0.27	-0.33	0.00	0.00	0.02	-0.57	-15.62	-0.23	-0.80	-0.057	-0.080
79	한석현	21LLF	-0.084	12	7	58.0	8	7	0	1	.875	1.09	0.03	-0.45	0.00	0.00	-0.17	-0.60	-12.36	-0.25	-0.85	-0.059	-0.084
80	이우성	21KLF	-0.089	62	20	257.2	63	61	1	1	.984	2.17	0.52	-0.00	0.00	0.00	-0.08	0.44	2.02	-1.32	-0.89	0.044	-0.089
81	페레즈	21한LF	-0.097	17	13	96.0	15	14	0	1	.933	1.31	0.19	-0.51	0.00	0.00	-0.15	-0.48	-5.97	-0.50	-0.97	-0.048	-0.097
82	김동엽	21삼LF	-0.099	36	25	193.2	41	39	1	1	.976	1.86	-0.32	0.44	0.00	0.00	-0.11	0.01	0.06	-0.99	-0.98	0.001	-0.099
83	이정범	21SLF	-0.110	19	17	109.0	21	19	1	1	.952	1.65	-0.66	0.26	0.00	0.00	-0.15	-0.55	-6.01	-0.57	-1.12	-0.054	-0.110
84	유한준	21KLF	-0.121	15	11	84.1	11	11	0	0	1.000	1.17	-0.48	-0.37	0.00	0.00	0.06	-0.79	-11.25	-0.44	-1.23	-0.078	-0.121
85	최인호	21한LF	-0.136	46	41	335.2	78	77	1	0	1.000	2.09	0.55	-0.34	0.00	0.00	0.16	0.37	1.32	-1.73	-1.36	0.037	-0.136
86	최승민	21NLF	-0.149	31	7	98.0	34	34	0	0	1.000	3.12	-0.93	-0.48	0.00	0.00	0.05	-1.37	-16.73	-0.13	-1.50	-0.136	-0.149
87	박준태	21키LF	-0.154	31	13	136.0	39	39	0	0	1.000	2.58	-1.55	0.32	0.00	0.00	0.08	-1.16	-10.18	-0.39	-1.55	-0.115	-0.154
